DRUG_ID,DRUG_NAME,INDICATION_FDB
249,astemizole,Sneezing
224,antazoline,Vasomotor rhinitis
279,aztreonam,Citrobacter Urinary Tract Infection
279,aztreonam,Bacterial urinary infection
277,azlocillin,Enterobacter Pneumonia
342,bepridil,Angina pectoris
348,betamethasone,Disorder of eye
374,biperiden,Extrapyramidal disease
348,betamethasone,Nephrotic syndrome
349,betamethasone acetate,Acute lymphoid leukemia
441,butalbital,Tension type headache
475,candesartan cilexetil,Hypertensive disorder
546,cefotaxime,Streptococcal meningitis
546,cefotaxime,E. Coli Peritonitis
546,cefotaxime,Infection of bone
535,cefepime,Urinary tract infection caused by Klebsiella
535,cefepime,Klebsiella cystitis
542,cefonicid,Klebsiella cystitis
530,cefazolin,Lower respiratory tract infection
527,cefamandole,Bacterial infection due to Klebsiella pneumoniae
559,ceftazidime,Meningococcal meningitis
555,cefpodoxime proxetil,Haemophilus Influenzae Acute Otitis Media
555,cefpodoxime proxetil,Streptococcal tonsillitis
547,cefotetan,Proteus urinary tract infection
550,cefoxitin,Sepsis due to Staphylococcus aureus
564,ceftriaxone,Pneumonia due to Escherichia coli
564,ceftriaxone,Disseminated Gonococcal Infection
576,cefradine,Urinary tract infectious disease
575,cefapirin,Pneumonia due to Streptococcus
645,cimetidine,Gastroesophageal reflux disease
640,cilastatin,Infectious disease of abdomen
734,cortisone acetate,Congenital hypoplastic anemia
734,cortisone acetate,Bursitis
760,ciclosporin,Severe Recalcitrant Psoriasis
1261,fusidic acid,Keratoconjunctivitis
1261,fusidic acid,Acute gonococcal endometritis
1225,fluticasone propionate,Asthma management
1261,fusidic acid,Complicated Proteus UTI
1225,fluticasone propionate,COPD Associated with Chronic Bronchitis
1208,fluorometholone,Herpes zoster keratitis
1208,fluorometholone,Cyclitis
1170,fexofenadine,Chronic idiopathic urticaria
1277,ganciclovir,Prevention of CMV Disease After Kidney Pancreas Transplantation
1353,haloperidol,Gilles de la Tourette's syndrome
1388,hydrocortisone,Cerebral edema
1566,levocetirizine,Seasonal allergic rhinitis
1709,meropenem,Complicated appendicitis
1709,meropenem,E. Coli Complicated Appendicitis
1641,mebendazole,Necator Americanus Infection
1763,methylthioninium chloride,Methemoglobinemia
1742,methdilazine,Itching of skin
1726,methacholine,Diagnostic Test for Asthma
1790,metronidazole,Skin and Skin Structure Clostridium Infection
1790,metronidazole,Clostridium Septicemia
1827,moexipril,Hypertensive disorder
1800,miconazole,Diaper rash
1527,ketoconazole,Pityriasis simplex
1423,imatinib,Chronic phase chronic myeloid leukemia
1575,levosalbutamol,Acute exacerbation of asthma
882,digoxin,Atrial fibrillation
961,doxycycline,Scrub typhus
954,doxazosin,Hypertensive disorder
962,doxylamine,Itching of skin
1027,epinastine,Ocular Itching
1057,estradiol,Advanced Prostatic Carcinoma
1046,ertapenem,Diabetic Foot Infection
1046,ertapenem,Streptococcal Septic Abortion
2831,retinol,Mineral deficiency
1783,metolazone,Hypertensive disorder
1889,nedocromil,Allergic conjunctivitis
1981,ofloxacin,Complicated UTI with Pseudomonas Aeruginosa
1981,ofloxacin,Pseudomonas Aeruginosa Joint Infection
1967,norfloxacin,Complicated Skin and Skin Structure Staphylococcus Aureus Infection
1981,ofloxacin,Infectious diarrheal disease
2034,oxymorphone,Chronic Pain with Opioid Tolerance
2001,oseltamivir,Influenza
2100,perazine,Chemotherapy induced nausea and vomiting
2082,benzylpenicillin,Streptococcus Myositis
2146,phenylephrine,Nasal discharge
2149,phenylpropanolamine,Influenza like symptoms
2187,piperacillin,Infection due to Staphylococcus aureus
2253,prednisone,Non Hodgkin's lymphoma
2245,prednisolone,Articular gout
2245,prednisolone,Severe adrenal insufficiency
2267,primidone,Epilepsy characterized by intractable complex partial seizures
2271,procaine,Local anesthesia
2326,pseudoephedrine,Nasal congestion
2403,ropivacaine,Anesthesia for cesarean section
2346,quinidine,Atrial fibrillation
2499,sulfacytine,Bacterial urinary infection
2607,testosterone,Bilateral orchidectomy
2589,temozolomide,"Astrocytoma, anaplastic"
2725,triamcinolone,Allergic Rhinitis Prevention
2656,ticarcillin,Abscess of lung
2656,ticarcillin,Skin and Skin Structure Pseudomonas Aeruginosa Infection
2621,thiabendazole,Necator Americanus Infection
2646,levothyroxine,Myxedema
2727,triamcinolone diacetate,Tendinitis
4162,dexlansoprazole,Erosive esophagitis
4265,gentamicin,Synergy for Skin and Skin Structure Pseudomonas Aeruginosa Infection
4265,gentamicin,Bacterial meningitis
4459,procaine benzylpenicillin,Streptococcal tonsillitis
4459,procaine benzylpenicillin,Infection of skin AND/OR subcutaneous tissue
192,amoxicillin,Pneumonia due to Streptococcus
197,amphotericin B,Coccidioidomycosis
197,amphotericin B,Infective otitis media
279,aztreonam,Skin and Skin Structure Proteus Infection
348,betamethasone,Systemic lupus erythematosus
356,betaxolol,Hypertensive disorder
463,caffeine,Headache disorder
492,carbenicillin,Enterobacter Prostatitis
512,carmustine,Malignant neoplasm of brain
4515,magnesium gluconate,Incomplete passage of stool
102,alatrofloxacin,Haemophilus Parainfluenzae Bronchitis
150,amcinonide,Granuloma annulare
119,aliskiren,Hypertensive disorder
2840,colecalciferol,Postmenopausal osteoporosis
2845,voglibose,Glucosylceramide beta glucosidase deficiency
2868,zoledronic acid,Hypogonadal Osteoporosis in Males
3617,tolnaftate,Tinea cruris
4106,sucralfate,Duodenal ulcer disease
3356,methyltestosterone,Primary Hypogonadism due to Bilateral Torsion
3369,naphazoline,Ocular Itching
3577,oxedrine,Eustachian Tube Congestion
3333,meclocycline,Bronchitis
4244,magnesium hydroxide,Gastric Hypersecretory Conditions
4213,hydrocortisone acetate,Pemphigus
4240,zinc oxide,Pityriasis versicolor
1209,fluoxetine,Bulimia nervosa
1171,finasteride,Benign prostatic hyperplasia
1277,ganciclovir,Herpes simplex dendritic keratitis
537,cefixime,Acute gonococcal urethritis
546,cefotaxime,Infectious disease of abdomen
535,cefepime,Infection due to Staphylococcus aureus
535,cefepime,Pneumonia due to Pseudomonas
525,cefaclor,Acute Moraxella catarrhalis bronchitis
525,cefaclor,Tonsillitis
525,cefaclor,Streptococcal tonsillitis
533,cefdinir,Moraxella Catarrhalis Pneumonia
559,ceftazidime,E. Coli Cervicitis
547,cefotetan,Fusobacterium Endometritis
547,cefotetan,Streptococcal Endometritis
550,cefoxitin,Peptococcus Pelvic Inflammatory Disease
564,ceftriaxone,Staphylococcal meningitis
564,ceftriaxone,Adult Gonococcal Conjunctivitis
563,ceftizoxime,Bacteroides Joint Infection
564,ceftriaxone,Chancroid
563,ceftizoxime,Peptostreptococcus Osteomyelitis
576,cefradine,Haemophilus influenzae pneumonia
575,cefapirin,Proteus Mirabilis Osteomyelitis
565,cefuroxime,Staphylococcal septicemia
589,chloramphenicol,H. Influenzae Meningitis
621,chlorpromazine,Schizophrenia
659,ciprofloxacin,Infection due to Enterobacteriaceae
659,ciprofloxacin,Acute Moraxella catarrhalis bronchitis
669,clavulanic acid,Acute bacterial sinusitis
666,citric acid,Pain
734,cortisone acetate,Sarcoidosis
734,cortisone acetate,Systemic Dermatomyositis
734,cortisone acetate,Systemic lupus erythematosus
734,cortisone acetate,Recurrent herpes simplex labialis
824,dexamethasone,Humoral hypercalcemia of malignancy
824,dexamethasone,Scalp psoriasis
819,desoximetasone,Pruritus of genital organs
838,dexpanthenol,Disorder of skin
830,dexbrompheniramine,Dermatographic urticaria
916,diphenhydramine,Allergic conjunctivitis
916,diphenhydramine,Vasomotor rhinitis
960,doxorubicin,Hodgkin's disease
961,doxycycline,Lymphogranuloma venereum
961,doxycycline,Rocky Mountain spotted fever
961,doxycycline,Acute gonococcal cervicitis
956,doxepin,Severe major depression with psychotic features
949,dorzolamide,Open angle glaucoma
939,docetaxel,Malignant tumor of head and/or neck
1024,ephedrine,Sinus headache
1024,ephedrine,Bronchitis
1051,erythromycin ethyl succinate,Burn Wound Infections
1046,ertapenem,Postpartum Endomyometritis due to Peptostreptococcus
1154,fenoprofen,Rheumatoid arthritis
1077,ethaverine,Peripheral vascular disease
1261,fusidic acid,Herpes zoster keratitis
1567,levodopa,Parkinsonism
1239,formoterol,COPD Associated with Chronic Bronchitis
1261,fusidic acid,Septicemia due to Escherichia coli
1261,fusidic acid,Anthrax
1261,fusidic acid,Synergy for Staphylococcal Joint Infection
1261,fusidic acid,Peritonitis
659,ciprofloxacin,Complicated UTI with Pseudomonas Aeruginosa
669,clavulanic acid,Bacteroides Peritonitis
668,clarithromycin,Infection due to Staphylococcus aureus
2656,ticarcillin,Infection of skin AND/OR subcutaneous tissue
2684,tobramycin,Infection due to Enterobacteriaceae
348,betamethasone,Sarcoidosis
380,bisoprolol,Hypertensive disorder
395,brimonidine,Open angle glaucoma
384,bitolterol,Bronchitis
2150,phenyltoloxamine,Dermatographic urticaria
2253,prednisone,Mycosis fungoides
2253,prednisone,Contact dermatitis
734,cortisone acetate,Rosacea
802,demeclocycline,Haemophilus Influenzae Acute Otitis Media
811,desflurane,General anesthesia
779,danazol,Endometriosis
785,dasatinib,Philadelphia Chromosome Positive Chronic Myelocytic Leukemia
2807,vancomycin,Prosthetic Heart Valve Endocarditis
2816,verteporfin,Pathologic Myopia
3096,cholic acid,Calculus in biliary tract
431,levobunolol,Ocular hypertension
454,butorphanol,Sedation as Adjunct to Anesthesia
537,cefixime,Streptococcal tonsillitis
542,cefonicid,Urinary tract infectious disease
525,cefaclor,Upper respiratory infection
525,cefaclor,Haemophilus Influenzae Bronchitis
527,cefamandole,Urinary tract infectious disease
533,cefdinir,Streptococcus Pneumoniae Bronchitis
2245,prednisolone,Disorder of eye
2236,pramlintide,Type 1 Diabetes Mellitus Treatment Adjunct
2243,prednicarbate,Pruritus of genital organs
2326,pseudoephedrine,Nasal discharge
2415,salicylamide,Headache disorder
913,dinoprostone,Pregnancy with abortive outcome
961,doxycycline,Chlamydia trachomatis infection of genital structure
961,doxycycline,Cutaneous anthrax
941,docusate sodium,Constipation
2974,doxacurium,"Muscle relaxation, function"
2840,colecalciferol,Hypoparathyroidism
2862,zileuton,Allergic asthma
3909,clindamycin phosphate,Aspiration pneumonia
559,ceftazidime,Pneumonia due to Pseudomonas
556,cefprozil,Acute otitis media
547,cefotetan,E. Coli Peritonitis
550,cefoxitin,Abdominal abscess
550,cefoxitin,Postoperative infection
550,cefoxitin,Transurethral Prostatectomy Infection Prevention
593,chlorcyclizine,Common cold
607,chloroquine,Malaria Prevention
2350,rabeprazole,Duodenal Ulcer due to H. Pylori
2350,rabeprazole,Multiple endocrine adenomas
2332,pyrimethamine,Chloroquine Resistant Plasmodium Falciparum Malaria
2416,salicylic acid,Osteoarthritis
2419,salmeterol,Bronchospasm Prevention with COPD
2529,sulfafurazole,Chlamydia Cervicitis
2514,sulfamethoxazole,Pneumocystis Carinii Pneumonia Prevention
920,diphenylpyraline,Anaphylaxis Adjunct
1019,entecavir,Chronic type B viral hepatitis
1051,erythromycin ethyl succinate,Infectious disease of abdomen
1046,ertapenem,Haemophilus influenzae pneumonia
1046,ertapenem,Peptostreptococcus infection
4213,hydrocortisone acetate,Rheumatoid arthritis
659,ciprofloxacin,Septicemia due to Escherichia coli
645,cimetidine,Maintenance of Healing Duodenal Ulcer
632,cyclacillin,Pharyngitis
640,cilastatin,Peritonitis
678,clindamycin,Pneumococcal pneumonia
669,clavulanic acid,Klebsiella cystitis
669,clavulanic acid,Bacterial septicemia
668,clarithromycin,Acute bacterial bronchitis
692,clofazimine,Dapsone resistant leprosy
725,codeine,Nasal congestion
720,cloxacillin,Continuation Therapy for Chronic Osteomyelitis
719,clotrimazole,Candidal vulvovaginitis
734,cortisone acetate,Eruption of skin
2468,spectinomycin,Disseminated Gonococcal Infection
2620,theophylline,Asthma
2725,triamcinolone,Erythema multiforme
1098,etidronic acid,Osteitis deformans
1110,etonogestrel,Contraception
1128,famciclovir,Suppression of Recurrent Herpes Simplex Infection
4201,calcium chloride,Hypokalemia
4253,macrogol,Incomplete passage of stool
4247,neomycin,Mastoidectomy Cavity Infections
4247,neomycin,Urinary tract infectious disease
4452,clobetasol propionate,Seborrheic dermatitis
734,cortisone acetate,Allergic conjunctivitis
749,cyclizine,Seasonal allergic rhinitis
802,demeclocycline,Gonorrhea
824,dexamethasone,Asthma
2715,tranylcypromine,Major depressive disorder
2656,ticarcillin,Salpingitis
2656,ticarcillin,Skin and Skin Structure Providencia Infection
2656,ticarcillin,Staphylococcus Aureus Joint Infection
2677,tiotropium bromide,Chronic bronchitis
2727,triamcinolone diacetate,Acquired thrombocytopenia
2728,triamterene,Hypertensive disorder
2743,trifluridine,Herpes simplex keratoconjunctivitis
2726,triamcinolone acetonide,Non Hodgkin's lymphoma
2726,triamcinolone acetonide,Inflammatory bowel disease
2726,triamcinolone acetonide,Giant cell arteritis
1261,fusidic acid,Osteomyelitis due to Staphylococcus aureus
1184,floxuridine,Malignant neoplasm of liver
1204,fluocinolone acetonide,Otitis Externa Eczema
1286,gemifloxacin,Pneumonia due to Mycoplasma pneumoniae
1280,gatifloxacin,Bacterial urinary infection
4456,hydrocortisone succinate,Aspiration pneumonitis
4441,calcium phosphate,"Pregnancy, function"
4459,procaine benzylpenicillin,Late syphilis
4459,procaine benzylpenicillin,Pharyngitis
4485,diflorasone diacetate,Granuloma annulare
842,dextromethorphan,Mouth Irritation
865,diclofenac,Rheumatoid Arthritis in Patient at High Ulcer Risk
913,dinoprostone,Cervical ripening procedure
870,dienestrol,Dyspareunia
867,dicoumarol,Prevention of Cerebral Thrombosis
2807,vancomycin,Bacterial endocarditis
2825,vincristine,Rhabdomyosarcoma
2825,vincristine,Nephroblastoma
2777,trovafloxacin,Peptostreptococcus Postpartum Infection
2805,valrubicin,Malignant tumor of urinary bladder
1358,heparin,Prevention of Recurrent Venous Thrombosis Associated with Malignancy
1380,methylhomatropine,Cough
1386,hydrocodone,Nasal discharge
1400,hydroxyzine,Allergic conjunctivitis
1388,hydrocortisone,Rheumatic heart disease
1388,hydrocortisone,Edema of larynx
1388,hydrocortisone,Nephrotic syndrome
1388,hydrocortisone,Recurrent herpes simplex labialis
1440,indomethacin,Bursitis
4627,sincalide,Diagnostic Test for Pancreas Function
4519,potassium citrate,Hypokalemia
66,acetylcysteine,General anesthesia
157,amikacin,Infection due to Pseudomonas aeruginosa
934,levomenthol,Itching of skin
1024,ephedrine,Headache disorder
3135,desonide,Crohn's disease
3135,desonide,Otitis externa
3150,dimercaprol,Toxic effect of arsenic AND/OR its compounds
3150,dimercaprol,Accidental poisoning by lead and its compounds and fumes
2843,phytomenadione,Prevention of Neonatal Hemorrhagic Disease
4112,dronedarone,Atrial fibrillation
4113,prasugrel,Myocardial Reinfarction Prevention
3667,amanozine,Cobalamin deficiency
1452,iodamide,Cholangiogram
1481,irbesartan,Hypertensive disorder
1482,irinotecan,Metastasis from malignant tumor of colon
1407,ibuprofen,Influenza like symptoms
1572,levonorgestrel,Postcoital contraception
4166,ulipristal,Postcoital contraception
197,amphotericin B,Fungal infection of lung
197,amphotericin B,Fungal meningitis
197,amphotericin B,Acute gonococcal cervicitis
197,amphotericin B,Gonorrhea of rectum
257,atorvastatin,Cerebrovascular accident
242,aripiprazole,Depression Treatment Adjunct
255,atenolol,Myocardial infarction
249,astemizole,Allergic conjunctivitis
1040,eptifibatide,Percutaneous coronary intervention
1054,esmolol,Atrial fibrillation
1046,ertapenem,Post Op Gynecologic Infection due to Bacteroides
1129,famotidine,Peptic reflux disease
4240,zinc oxide,Skin irritation
1709,meropenem,Streptococcal Peritonitis
1612,lovastatin,Hyperlipidemia
1611,loteprednol etabonate,Herpes zoster keratoconjunctivitis
1594,lomefloxacin,Escherichia coli urinary tract infection
1768,methylprednisolone,Rheumatic heart disease
2684,tobramycin,Bacterial infection due to Klebsiella pneumoniae
2684,tobramycin,Pneumonia due to Pseudomonas
2699,tolmetin,Osteoarthritis
2738,trientine,Wilson's disease
2726,triamcinolone acetonide,Granuloma annulare
2726,triamcinolone acetonide,Uveitis
1077,ethaverine,Cerebral ischemia
1261,fusidic acid,Providencia Complicated UTI
1261,fusidic acid,Superficial Ocular Infection
1210,fluoxymesterone,LHRH Deficiency
1210,fluoxymesterone,Primary Hypogonadism due to Orchitis
4201,calcium chloride,Hypocalcemia
4246,Polymyxin B,Uveitis
4425,colistin,Infection due to Escherichia coli
4350,ammonium chloride,Cough
4456,hydrocortisone succinate,Idiopathic thrombocytopenic purpura
4456,hydrocortisone succinate,Rheumatoid arthritis
1790,metronidazole,Bacteroides Empyema
1790,metronidazole,Infection due to anaerobic bacteria
1832,mometasone furoate,Primary cutaneous T cell lymphoma
1906,nicotinamide,Acne vulgaris
2838,ergocalciferol,Postmenopausal osteoporosis
2838,ergocalciferol,Vitamin D deficiency
3135,desonide,Granuloma annulare
3064,capsaicin,Postherpetic neuralgia
1277,ganciclovir,Prevention of CMV Disease After Organ Transplant
1280,gatifloxacin,Acute bacterial sinusitis
1402,hyoscyamine,Muscarine Toxicity
4459,procaine benzylpenicillin,Streptococcus pyogenes infection
4302,glycopyrronium bromide,Peptic ulcer
4283,tapentadol,Pain
4647,fluorometholone acetate,Post Op Ocular Inflammation
1981,ofloxacin,Acute bacterial peritonitis
1981,ofloxacin,Citrobacter Urinary Tract Infection
1981,ofloxacin,Citrobacter Complicated UTI
1981,ofloxacin,Anthrax
1967,norfloxacin,Enterobacter Pneumonia
1967,norfloxacin,Haemophilus Parainfluenzae Chronic Bronchitis
1967,norfloxacin,Pneumococcal pneumonia
1967,norfloxacin,Haemophilus Parainfluenzae Bronchitis
1981,ofloxacin,Urinary tract infection caused by Klebsiella
1967,norfloxacin,Complicated Skin and Skin Structure Pseudomonas Aeruginosa Infection
1922,nifedipine,Prinzmetal angina
3017,benzalkonium,Skin irritation
3909,clindamycin phosphate,Infectious disorder of joint
4119,romidepsin,Peripheral T cell lymphoma
1388,hydrocortisone,Corneal abrasion
1388,hydrocortisone,Crohn's disease
1510,isoxsuprine,Disorder of blood vessel
1407,ibuprofen,Severe pain
1569,levofloxacin,Complicated Skin and Skin Structure Proteus Infection
4548,flumetasone,Seborrheic dermatitis
4548,flumetasone,Plaque psoriasis
52,paracetamol,Tension type headache
105,salbutamol,Bronchospasm
102,alatrofloxacin,Acute bacterial bronchitis
2132,pheniramine,Allergic rhinitis
2132,pheniramine,Dermatographic urticaria
2123,phenelzine,Depressive disorder
2132,pheniramine,Red eye
2083,phenoxymethylpenicillin,Pharyngitis
2082,benzylpenicillin,Infection due to Clostridium botulinum
3487,pramocaine,Itching of skin
4213,hydrocortisone acetate,Pruritus ani
4213,hydrocortisone acetate,Idiopathic thrombocytopenic purpura
1550,aspartic acid,Hypokalemia Prevention
1710,mesalazine,Chronic ulcerative proctitis
1689,mepenzolate,Gastric ulcer
1647,mechlorethamine,Non Hodgkin's lymphoma
192,amoxicillin,Genitourinary Tract Infection due to Proteus
198,ampicillin,Bacterial pneumonia
281,bacitracin,Bacterial keratitis
2076,pempidine,Dermatographic urticaria
2134,phenobarbital,Simple partial seizure
2146,phenylephrine,Fever
2140,phentermine,Hypotension Secondary to Spinal Anesthesia
4425,colistin,Pseudomonas Aeruginosa Infections
4446,iodine,CD20 Positive Non Hodgkin's Lymphoma
1594,lomefloxacin,Complicated UTI with Pseudomonas Aeruginosa
1790,metronidazole,Skin and Skin Structure Peptococcus Infection
1800,miconazole,Tinea pedis
2139,phensuximide,Epilepsy
2149,phenylpropanolamine,Allergic rhinitis
2187,piperacillin,Enterococcus Complicated UTI
2148,phenylpropanol,Vasomotor rhinitis
2253,prednisone,Loeffler's syndrome
2253,prednisone,Pemphigus
2247,prednisolone acetate,Bacterial conjunctivitis
2245,prednisolone,Synovitis
4274,selenium sulfide,Seborrheic dermatitis
1832,mometasone furoate,Lichen simplex chronicus
1845,morphine,Regional Anesthesia for Labor Pain
1798,micafungin,Candidemia
1798,micafungin,Disseminated candidiasis
1783,metolazone,Peripheral Edema due to Chronic Heart Failure
1783,metolazone,Pulmonary Edema due to Chronic Heart Failure
279,aztreonam,Skin and Skin Structure Pseudomonas Aeruginosa Infection
280,bacampicillin,Infection of skin AND/OR subcutaneous tissue
276,azithromycin,Pneumonia due to Staphylococcus aureus
333,benzatropine,Arteriosclerotic Parkinsonism
323,benzocaine,Cough
375,bisacodyl,Incomplete passage of stool
384,bitolterol,Bronchospasm Prevention
348,betamethasone,Inflammatory bowel disease
349,betamethasone acetate,Loeffler's syndrome
401,bromfenac,Post Op Ocular Inflammation
2241,praziquantel,Schistosomiasis due to S. Mansoni
2267,primidone,Bipolar disorder in remission
2326,pseudoephedrine,Eustachian Tube Congestion
2403,ropivacaine,Local anesthesia
4287,calcium acetate,Hypocalcemia
4519,potassium citrate,Calcium renal calculus
4625,ammonia,Pityriasis simplex
1885,natamycin,Fungal Blepharitis
1886,nateglinide,Diabetes mellitus type 2
1887,nebivolol,Hypertensive disorder
1981,ofloxacin,Typhoid fever
1981,ofloxacin,Skin and Skin Structure Proteus Infection
1981,ofloxacin,Proteus pneumonia
1981,ofloxacin,Streptococcus Pneumoniae Chronic Bronchitis
1967,norfloxacin,Staphylococcus Aureus Bronchitis
1967,norfloxacin,Streptococcus pyogenes infection
1967,norfloxacin,Acute Moraxella catarrhalis bronchitis
1967,norfloxacin,Streptococcal Septic Abortion
1967,norfloxacin,Female pelvic cellulitis
1962,norethisterone,Atrophic vaginitis
539,cefmetazole,Pneumonia
535,cefepime,Pneumonia due to Streptococcus
542,cefonicid,Skin and Skin Structure Streptococcus Agalactiae Infection
525,cefaclor,Haemophilus influenzae pneumonia
2397,rofecoxib,Juvenile rheumatoid arthritis
2358,ranitidine,Duodenal ulcer disease
2358,ranitidine,Zollinger Ellison syndrome
2419,salmeterol,Exercise Induced Bronchospasm Prevention
2514,sulfamethoxazole,Haemophilus Influenzae Chronic Bronchitis
2534,sulindac,Ankylosing spondylitis
2553,tadalafil,Pulmonary hypertension
24,phenylbutanoic acid,"Congenital hyperammonemia, type I"
103,albendazole,Echinococcus granulosus infection of liver
157,amikacin,Bacterial urinary infection
157,amikacin,Proteus septicemia
2006,oxacillin,Staphylococcal pneumonia
2083,phenoxymethylpenicillin,Pneumococcal Acute Otitis Media
559,ceftazidime,Escherichia coli urinary tract infection
556,cefprozil,Upper respiratory infection
550,cefoxitin,Staphylococcal pneumonia
564,ceftriaxone,E. Coli Peritonitis
564,ceftriaxone,Acute gonococcal cervicitis
562,ceftibuten,Tonsillitis
563,ceftizoxime,Rhinoscleroma
564,ceftriaxone,Gonococcal endocarditis
564,ceftriaxone,Infection of skin AND/OR subcutaneous tissue
564,ceftriaxone,Haemophilus Septic Arthritis
563,ceftizoxime,Streptococcal septicemia
576,cefradine,Haemophilus Influenzae Acute Otitis Media
576,cefradine,Upper respiratory infection
576,cefradine,Infection of skin AND/OR subcutaneous tissue
565,cefuroxime,Moraxella Catarrhalis Acute Otitis Media
2492,sulbactam,Infection of skin AND/OR subcutaneous tissue
2466,sparfloxacin,Pneumonia due to Mycoplasma pneumoniae
2611,tetracycline,Sexually Transmitted Epididymo Orchitis
2592,tenofovir,Chronic type B viral hepatitis
2610,tetracaine,Local Anesthesia for Ophthalmologic Procedure
2600,terfenadine,Chronic idiopathic urticaria
2725,triamcinolone,Systemic lupus erythematosus
2725,triamcinolone,Lichen simplex chronicus
198,ampicillin,Haemophilus Influenzae Acute Otitis Media
281,bacitracin,Minor Bacterial Skin Infections
3620,tramazoline,Sneezing
3356,methyltestosterone,LHRH Deficiency
1529,ketorolac,Post Op Ocular Inflammation
1710,mesalazine,Ulcerative colitis
1709,meropenem,Meningococcal meningitis
1610,losartan,Diabetic renal disease
1768,methylprednisolone,Juvenile rheumatoid arthritis
2424,scopolamine,Nasal discharge
2497,sulfacetamide,Gardnerella Vaginalis Bacterial Vaginosis
2500,sulfadiazine,Rheumatic Fever Prevention
2521,sulfanilamide,Vulvovaginitis
2611,tetracycline,Lymphogranuloma venereum
2611,tetracycline,Relapsing fever
1048,erythromycin,Neonatal conjunctivitis
1046,ertapenem,Postpartum Endomyometritis due to Bacteroides
4149,doripenem,Pyelonephritis
4265,gentamicin,Septicemia due to Serratia
4257,bismuth subsalicylate,Duodenal Ulcer due to H. Pylori
4250,algeldrate,Gastric ulcer
4253,macrogol,Tear film insufficiency
4246,Polymyxin B,Bacterial conjunctivitis
1768,methylprednisolone,Pruritus ani
1738,methapyrilene,Dermatographic urticaria
1813,minocycline,Ureaplasma Urealyticum Infections
2725,triamcinolone,Hodgkin's disease
2725,triamcinolone,Seborrheic dermatitis
2705,tolterodine,Increased Urinary Frequency
2684,tobramycin,Klebsiella Pneumoniae Peritonitis
2621,thiabendazole,Infection by Uncinaria
2656,ticarcillin,Klebsiella cystitis
2638,thiotepa,Pleural Malignant Effusions
2727,triamcinolone diacetate,Laffler's syndrome
2727,triamcinolone diacetate,Alopecia areata
2749,alimemazine,General anesthesia
1261,fusidic acid,Tularemia
1261,fusidic acid,Infection of bone
1225,fluticasone propionate,Pruritus of genital organs
1233,fomepizole,Accidental poisoning by methyl alcohol
4456,hydrocortisone succinate,Eruption of skin
4456,hydrocortisone succinate,Thyroiditis
4477,sodium citrate,Peptic ulcer
4459,procaine benzylpenicillin,Diphtheria
4347,benzathine benzylpenicillin,Streptococcus pyogenes infection
4288,magnesium carbonate,Gastroesophageal reflux disease
4293,magnesium oxide,Hypocalcemia
4548,flumetasone,Discoid lupus erythematosus
1854,moxifloxacin,Acute bacterial sinusitis
1967,norfloxacin,Bacterial infection due to Klebsiella pneumoniae
1967,norfloxacin,Miscarriage with sepsis
1967,norfloxacin,Chronic Escherichia coli Prostatitis
1981,ofloxacin,Infective otitis externa
1962,norethisterone,Contraception
2727,triamcinolone diacetate,Miliary tuberculosis
2807,vancomycin,Neonatal pneumonia
2777,trovafloxacin,Legionella Pneumophila Pneumonia
1239,formoterol,Adjunct Therapy to Achieve Long term Asthma Control
1164,fentanyl,Chronic Pain with Opioid Tolerance
1175,flavoxate,Nocturia
1201,flunisolide,Allergic Rhinitis Prevention
1277,ganciclovir,Myocardial Perfusion Imaging Adjunct
4631,nitroprusside,Hypertensive urgency
66,acetylcysteine,Poisoning by acetaminophen
85,aciclovir,Suppression of Recurrent Herpes Simplex Infection
105,salbutamol,Acute exacerbation of asthma
102,alatrofloxacin,Female genital tract infection
1992,ondansetron,Chemotherapy induced nausea and vomiting
2006,oxacillin,Staphylococcal infectious disease
2006,oxacillin,Infection of bone
2097,pentosan polysulfate,Bladder pain
2083,phenoxymethylpenicillin,Infection due to Staphylococcus aureus
2082,benzylpenicillin,Neonatal Group B Streptococcal Septicemia
2076,pempidine,Nasal discharge
2846,voriconazole,Disseminated candidiasis
4123,lubiprostone,Chronic idiopathic constipation
1385,hydrochlorothiazide,Hypertensive disorder
1388,hydrocortisone,Proctitis
1513,itraconazole,Onychomycosis of fingernails
1499,isoprenaline,Common cold
157,amikacin,Septicemia due to Escherichia coli
157,amikacin,Neonatal pneumonia
157,amikacin,Klebsiella Septicemia
192,amoxicillin,Haemophilus Influenzae Pharyngitis
192,amoxicillin,Haemophilus Influenzae Acute Otitis Media
183,amlodipine,Cerebrovascular accident
198,ampicillin,Skin and Skin Structure Acinetobacter Infection
198,ampicillin,Escherichia coli meningitis
2349,quinupristin,Complicated Skin and Skin Structure Staphylococcus Aureus Infection
2428,secobarbital,Local anesthesia
2497,sulfacetamide,Blepharoconjunctivitis
2553,tadalafil,Impotence
3972,ivermectin,Infection by Onchocerca volvulus
3520,rapacuronium,General anesthesia
3591,tetryzoline,Nasal discharge
1426,imipenem,Endometritis
281,bacitracin,Keratitis
279,aztreonam,Haemophilus Influenzae Bronchitis
277,azlocillin,Bacterial infection due to Serratia
348,betamethasone,Cerebral edema
371,bimatoprost,Open angle glaucoma
384,bitolterol,Bronchiectasis
